data1,data2
A938240,438504
A986880,487144
A988789,489053
A998593,498857
A927377,427642
A952940,453205
A987992,488257
A997930,498195
A923614,423880
A942506,442772
A957166,457432
A988647,488913
A979222,479489
A914241,414509
A966336,466604
A972952,473220
A991119,491387
A995274,495542
A930368,430637
A965123,465392
A973351,473620
A989121,489390
A991420,491689
A929433,429703
A936990,437260
A947947,448217
A979687,479957
A910999,411270
A946538,446809
A979767,480038
A992069,492340
A993195,493466
A996720,496991
A908832,409104
A910099,410371
A921390,421662
A926656,426928
A937691,437963
A946827,447099
A962993,463265
A989864,490136
A914156,414430
A915464,415738
A915600,415874
A922820,423094
A935186,435460
A936100,436374
A937554,437828
A942715,442989
A972648,472922
A973471,473745
A930127,430402
A958113,458388
A958196,458471
A964278,464553
A986680,486955
A993515,493790
A993543,493818
A911393,411669
A917651,417927
A928720,428996
A972602,472878
A982589,482865
A911439,411716
A924288,424565
A955802,456079
A960287,460564
A976794,477071
A993864,494141
A929723,430001
A910416,410695
A916532,416811
A927173,427452
A927588,427867
A958009,458288
A968508,468787
A989129,489408
A921058,421338
A959965,460245
A994658,494938
A923877,424158
A961798,462079
A965202,465483
A993735,494016
A969864,470146
A975428,475710
A993516,493799
A909244,409529
A964637,464922
A953807,454093
A995518,495804
A930155,430442
A995452,495739
A957505,457793
A976920,477208
A915145,415434
A941032,441321
A951710,451999
A957982,458271
A961442,461731
A980173,480462
A990882,491171
A922830,423120
A923091,423381
A937389,437679
A962552,462842
A974670,474960
A983251,483541
A991495,491785
A909725,410016
A914978,415269
A921743,422034
A923116,423407
A928324,428615
A946349,446640
A965753,466044
A982671,482962
A907938,408230
A920741,421033
A941308,441600
A965543,465835
A993804,494096
A909970,410263
A915661,415954
A950759,451052
A962252,462545
A978345,478638
A996359,496652
A915407,415701
A948303,448597
A969880,470174
A913379,413674
A914147,414442
A940587,440882
A948524,448819
A969270,469565
A977398,477693
A987205,487500
A993688,493983
A996243,496538
A907815,408111
A911607,411903
A951815,452111
A971957,472253
A906105,406402
A927216,427513
A987721,488018
A918667,418965
A939259,439557
A932204,432503
A961481,461780
A978045,478344
A978567,478866
A987025,487324
A927315,427615
A994095,494395
A995888,496188
A927169,427470
A958664,458965
A971177,471478
A988375,488676
A923002,423304
A929078,429380
A933130,433432
A938221,438523
A939323,439625
A945319,445621
A959982,460284
A966391,466693
A977122,477424
A983553,483855
A922000,422303
A952895,453198
A986493,486796
A988229,488532
A989587,489890
A912221,412525
A976372,476676
A919253,419558
A946948,447253
A976191,476496
A976352,476657
A997675,497980
A914073,414379
A920492,420798
A921594,421900
A927957,428263
A928709,429015
A938910,439216
A969934,470240
A972243,472549
A940450,440757
A961124,461431
A976066,476373
A992670,492977
A910881,411189
A924250,424558
A928515,428823
A931883,432191
A945192,445500
A949043,449351
A932372,432681
A906560,406870
A914721,415031
A959683,459993
A976584,476894
A905161,405472
A906081,406392
A920680,420991
A927887,428198
A952812,453123
A978935,479246
A984256,484567
A985109,485420
A990241,490552
A918438,418750
A939616,439928
A941598,441910
A954689,455001
A962268,462580
A929269,429582
A932046,432359
A934343,434656
A960256,460569
A967111,467424
A985050,485363
A918456,418770
A941867,442181
A952087,452401
A925918,426233
A926984,427299
A981210,481525
A984664,484979
A921265,421581
A929229,429545
A932845,433161
A945880,446196
A980544,480860
A917722,418039
A948559,448876
A958206,458523
A931157,431475
A945107,445425
A987060,487378
A991423,491741
A926117,426436
